Timestamp,"Here's an opportunity to earn 0, 2,  or 6 additional percentage points on your first quiz in this class. All you have to do is choose whether you prefer  2 or 6 additional (percentage) points on your first turn-in. Here's the small catch: if more than 10% of the respondents choose 6 points, then no one gets any points.",Who is your AP Statistics Teacher?,With which gender do you identify?,What is your age?  (Just give the number! No units),"To the nearest inch, approximately how tall are you?  (Just give the number! No units)","What is your shoe size?  (example: ""eight and a half"" should be reported as 8.5 )  ",How many siblings do you have?,"To the nearest mile, what is the distance from your home to school?  (Just give the number!  No units)","To the nearest dollar, what is the maximum you would spend for a truly GREAT haircut?  (Just give the number! No units)",How many Instagram followers do you have?  You may look at your phone / computer to check.,How many people are you following on Instagram?  You may look at your phone / computer to check.,How many posts have you made on Instagram? You may look at your phone / computer to check.,Which is your preferred social media app?,"Take a guess: to the nearest year, how old do you think your teacher is?  (Just give the number! No units)","Indicate your agreement level with this statement: ""The most important achievement for a high school student is to get high grades.""  ","Indicate your agreement level with this statement:  ""More should be done by teachers and deans to detect and discourage cheating and plagiarism at Harvard-Westlake.""","Indicate your agreement level with this statement:  ""At the end of the day, competition against others is more productive than collaboration with others.""  ",Pick one:  Which component of the HW mission statement is most valuable/important to you?,"How many languages, other than English, do you speak reasonably well?","To the nearest dollar, approximately how much did you spend on your last haircut?  (Just give the number! No units)",How would you describe the political affiliation of your parents?,How would you describe your own political affiliation?,True or False:  A hotdog on a bun is a sandwich.,This dress is,Do you think that there more doors or wheels in the world?,Can you sing reasonably well?,Have you ever participated in Harvard-Westlake performing arts?,Pick a whole number from 1 to 10 (including possibly 1 or 10).,Do you think you can run reasonably well in high heels?,What is the value of:,Which is bigger:,Approximately how many of the 50 United States have you been in?,Do you know how to drive stick shift?,iPhone or Android?,"There is a runaway trolley barreling down the railway tracks. Ahead, on the tracks, there are five people tied up and unable to move. The trolley is headed straight for them. You are standing some distance off in the train yard, next to a lever. If you pull this lever, the trolley will switch to a different set of tracks. However, you notice that there is one person on the side track. You have two (and only two) options:
Do nothing, in which case the trolley will kill the five people on the main track.Pull the lever, diverting the trolley onto the side track where it will kill one person.
Which is the more ethical option? Or, more simply: What is the right thing to do?","As in the last question, a trolley is hurtling down a track towards five people. You are on a bridge under which it will pass, and you can stop it by putting something very heavy in front of it. As it happens, there is a very large man next to you – your only way to stop the trolley is to push him over the bridge and onto the track, killing him to save five. Should you proceed?","You are a doctor caring for five patients all of whom are going to die if they do not receive a specific organ transplant immediately.  One patient needs a heart, another a spleen, another needs a liver, another needs a lung, and the last needs a pancreas.
Into your clinic walks a perfectly healthy person who happens to be a universal donor.  You can save the five patients by taking the organs from this one healthy person.  Should you proceed?","At any point, while answering any of the last three questions, did you go back and change any of your answers?","To the nearest minute, approximately how long do you think it would take you to run one mile.",Do you play a sport at Harvard-Westlake?,Star Wars or Star Trek?,Nvidia or AMD?,Are you a vegetarian?,In 'N' Out or Shake Shack?,What did you hear?,How many triangles do you see?
8/23/2023 14:21:00,2 points,Dr. Helston,Female,17,68,8,3,2,100,1376,1061,0,Instagram,40,Disagree,Strongly Disagree,Disagree,joyful pursuit of educational excellence,2,0,center,center,FALSE,Black and Blue,Wheels,no,yes,10,yes,19,Option B,4,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,7,no,What are you talking about?,Nvidia,No,In 'N' Out,Laural,4
8/23/2023 14:22:56,6 points,Dr. Helston,Female,17,67,8.5,2,3,100,1928,1724,27,TikTok,40,Disagree,Agree,Strongly Disagree,purpose beyond ourselves,0,,center,left of center,FALSE,Black and Blue,Wheels,no,yes,8,yes,19,Option A,5,yes,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,10,yes,Star Trek,What are you talking about?,No,In 'N' Out,Laural,14
8/23/2023 14:23:44,2 points,Dr. Helston,Female,17,66,8,1,10,50,1046,1268,23,TikTok,50,Agree,Disagree,Disagree,joyful pursuit of educational excellence,1,40,center,left of center,FALSE,White and Gold,Wheels,yes,yes,3,yes,19,Option B,8,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,10,no,What are you talking about?,What are you talking about?,No,In 'N' Out,Laural,22
8/23/2023 14:24:03,2 points,Dr. Helston,Male,17,70,9.5,0,17,60,316,477,0,Instagram,43,Agree,Disagree,Strongly Disagree,living and learning with integrity,1,50,left of center,center,TRUE,White and Gold,Wheels,no,no,5,yes,19,Option A,16,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,Yes,5,yes,Star Wars,Nvidia,No,In 'N' Out,Laural,25
8/23/2023 14:24:27,6 points,Dr. Helston,Female,17,65,7.5,1,3,100,1758,1703,27,Twitter,37,Disagree,Strongly Disagree,Strongly Disagree,A diverse and inclusive community,0,150,left of center,left of center,FALSE,Black and Blue,Wheels,yes,yes,4,no,19,Option A,20,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,9,no,Star Wars,What are you talking about?,No,Shake Shack,Laural,25
8/23/2023 14:24:28,2 points,Dr. Helston,Female,17,67,9,1,7,80,720,712,0,Instagram,34,Disagree,Strongly Disagree,Agree,purpose beyond ourselves,1,40,center,center,FALSE,White and Gold,Wheels,no,no,8,yes,19,Option B,20,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,11,no,Star Wars,What are you talking about?,No,In 'N' Out,Laural,24
8/23/2023 14:24:50,2 points,Dr. Helston,Female,17,64,5.5,1,6,100,539,570,0,Instagram,50,Disagree,Disagree,Disagree,purpose beyond ourselves,1,30,center,center,TRUE,White and Gold,Doors,no,yes,6,no,19,Option A,6,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,7,no,What are you talking about?,What are you talking about?,No,Shake Shack,Yanny,24
8/23/2023 14:25:05,6 points,Dr. Helston,Male,17,75,13,0,6,20,601,594,2,Twitter,43,Strongly Disagree,Disagree,Disagree,living and learning with integrity,0,0,far left,far left,FALSE,White and Gold,Wheels,no,no,6,no,19,Option A,15,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,8,no,What are you talking about?,Nvidia,No,5 Guys,Laural,25
8/23/2023 14:25:12,2 points,Dr. Helston,Female,18,70,10.5,2,17,100,1300,1000,8,TikTok,42,Agree,Disagree,Disagree,A diverse and inclusive community,0,85,center,center,FALSE,White and Gold,Doors,no,yes,4,yes,19,Option A,20,yes,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,6,yes,Star Wars,What are you talking about?,No,Shake Shack,Yanny,24
8/23/2023 14:26:07,2 points,Dr. Helston,Female,17,63,7.5,1,8,80,787,992,3,Instagram,48,Disagree,Agree,Strongly Disagree,purpose beyond ourselves,2,30,center,left of center,FALSE,Black and Blue,Wheels,no,no,8,yes,19,Option A,8,no,Android,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,Yes,15,no,What are you talking about?,Nvidia,No,Shake Shack,Laural,17
